open_time,close_time,open,high,low,close,volume,currency_pair
2024-06-05,2024-06-05 23:59:59.999,0.16136000,0.16486000,0.16117000,0.16326000,670049829.00000000,DOGEUSDT
2024-06-06,2024-06-06 23:59:59.999,0.16327000,0.16385000,0.16148000,0.16382000,274736118.00000000,DOGEUSDT
2024-05-07,2024-05-07 23:59:59.999,0.54010000,0.54430000,0.52170000,0.52450000,346192205.00000000,XRPUSDT
2024-05-08,2024-05-08 23:59:59.999,0.52440000,0.53000000,0.51530000,0.51710000,346832658.00000000,XRPUSDT
2024-05-09,2024-05-09 23:59:59.999,0.51700000,0.52380000,0.50870000,0.52090000,299812797.00000000,XRPUSDT
2024-05-10,2024-05-10 23:59:59.999,0.52090000,0.52090000,0.49700000,0.50220000,356081362.00000000,XRPUSDT
2024-05-11,2024-05-11 23:59:59.999,0.50220000,0.50790000,0.50050000,0.50590000,99554446.00000000,XRPUSDT
2024-05-12,2024-05-12 23:59:59.999,0.50590000,0.50880000,0.49570000,0.49930000,96995150.00000000,XRPUSDT
2024-05-13,2024-05-13 23:59:59.999,0.49930000,0.51210000,0.48660000,0.50530000,307847853.00000000,XRPUSDT
2024-05-14,2024-05-14 23:59:59.999,0.50520000,0.51320000,0.49720000,0.50020000,306746811.00000000,XRPUSDT
2024-05-15,2024-05-15 23:59:59.999,0.50020000,0.51960000,0.49670000,0.51880000,323956909.00000000,XRPUSDT
2024-05-16,2024-05-16 23:59:59.999,0.51880000,0.52280000,0.51230000,0.51570000,327561119.00000000,XRPUSDT
2024-05-17,2024-05-17 23:59:59.999,0.51580000,0.52920000,0.51350000,0.52340000,286496760.00000000,XRPUSDT
2024-05-18,2024-05-18 23:59:59.999,0.52350000,0.52560000,0.51860000,0.52130000,90176826.00000000,XRPUSDT
2024-05-19,2024-05-19 23:59:59.999,0.52130000,0.52360000,0.50630000,0.50960000,112974578.00000000,XRPUSDT
2024-05-20,2024-05-20 23:59:59.999,0.50960000,0.53800000,0.50640000,0.53770000,404880454.00000000,XRPUSDT
2024-05-21,2024-05-21 23:59:59.999,0.53770000,0.55710000,0.53190000,0.53700000,491396281.00000000,XRPUSDT
2024-05-22,2024-05-22 23:59:59.999,0.53700000,0.53830000,0.52240000,0.52680000,303183587.00000000,XRPUSDT
2024-05-23,2024-05-23 23:59:59.999,0.52680000,0.54880000,0.50270000,0.52890000,585134596.00000000,XRPUSDT
2024-05-24,2024-05-24 23:59:59.999,0.52880000,0.53750000,0.51680000,0.53600000,322992520.00000000,XRPUSDT
2024-05-25,2024-05-25 23:59:59.999,0.53590000,0.54260000,0.53180000,0.54160000,132376204.00000000,XRPUSDT
2024-05-26,2024-05-26 23:59:59.999,0.54160000,0.54200000,0.52550000,0.52830000,108799266.00000000,XRPUSDT
2024-05-27,2024-05-27 23:59:59.999,0.52830000,0.54090000,0.52360000,0.53400000,244982717.00000000,XRPUSDT
2024-05-28,2024-05-28 23:59:59.999,0.53390000,0.53550000,0.52110000,0.52870000,282469800.00000000,XRPUSDT
2024-05-29,2024-05-29 23:59:59.999,0.52860000,0.53340000,0.52000000,0.52380000,316791079.00000000,XRPUSDT
2024-05-30,2024-05-30 23:59:59.999,0.52380000,0.52830000,0.51270000,0.51860000,361762802.00000000,XRPUSDT
2024-05-31,2024-05-31 23:59:59.999,0.51850000,0.52590000,0.51190000,0.51760000,304398744.00000000,XRPUSDT
2024-06-01,2024-06-01 23:59:59.999,0.51760000,0.52190000,0.51740000,0.51870000,88294554.00000000,XRPUSDT
2024-06-02,2024-06-02 23:59:59.999,0.51870000,0.52090000,0.50800000,0.51350000,130902096.00000000,XRPUSDT
2024-06-03,2024-06-03 23:59:59.999,0.51350000,0.52320000,0.51180000,0.51990000,237659106.00000000,XRPUSDT
2024-06-04,2024-06-04 23:59:59.999,0.51990000,0.53030000,0.51820000,0.52570000,252531633.00000000,XRPUSDT
2024-06-05,2024-06-05 23:59:59.999,0.52570000,0.53260000,0.52400000,0.52580000,248045273.00000000,XRPUSDT
2024-06-06,2024-06-06 23:59:59.999,0.52590000,0.52750000,0.52160000,0.52670000,170857282.00000000,XRPUSDT
